item,eta,alpha,width
redselig,-3.89272225425,1.9140258562445578,0.5558000999999999
widmen,-3.52419173175,1.9385610781821438,0.5184913750000009
humorlos,-3.29762939675,1.9658985788382344,0.490153975000001
Unabhängigkeit,-3.20969164425,1.8285254862589668,0.49752719999999995
höchstpersönlich,-3.18740541425,1.7989946440025129,0.4851616250000004
Grundlage,-2.80263045175,1.5276336271177031,0.4574530499999998
verwesen,-2.73332902925,1.5534153088912155,0.43265430000000027
Mathematiker,-2.42890094425,1.3673389567670176,0.41372379999999964
wehrlos,-2.40230825675,1.5076589877221198,0.4160352750000005
Versager,-2.35825205175,1.7632327948278774,0.40198827500000034
Formel,-2.08030567175,1.5105684054222417,0.4018960749999998
Politik,-1.94793633675,1.4376815487895902,0.40003802499999974
nachweisen,-1.83994983925,1.7713490212762757,0.37916667500000045
Dokument,-1.79965936175,1.6351777934578173,0.37534632499999976
System,-1.70422133925,1.7439924690112325,0.39508382500000017
Abitur,-1.67926468925,1.5774419558168644,0.37634287499999974
mutlos,-1.63752423175,1.758645742456867,0.3811078499999996
mager,-1.60067781425,1.8037426399548373,0.37300049999999985
abseits,-1.54950512675,1.472237937811612,0.3682782000000002
Klassik,-1.54236375175,1.6060446321931732,0.37810552500000005
Produkt,-1.49684407425,1.5699428881986113,0.3686772250000001
Filmstar,-1.49661784175,1.71862882706907,0.3719201000000003
Lilie,-1.34153213925,1.3574867321300446,0.3567127000000003
optimal,-1.29541542675,1.8056063572968823,0.37556577499999966
Niete,-1.13024559175,1.5052862366770323,0.36416657500000005
exakt,-1.06771973175,1.7865049063998644,0.3650946500000001
vermieten,-0.99737714425,1.5419533106208696,0.35201775
Tourist,-0.97315055175,1.68301164108767,0.3687902249999997
Prozent,-0.94050861675,1.5221242512782602,0.36859900000000023
Nelke,-0.92936728175,1.430050500595499,0.3541885750000001
Betrieb,-0.88245914675,1.7773662793893403,0.35236282500000016
alphabetisch,-0.8792306492499999,1.5400325393186356,0.36292049999999987
Drama,-0.6659282415,1.6062065654386781,0.34704912500000007
verloben,-0.61158789125,1.7504099226879868,0.3422732499999998
Gegensatz,-0.563619776,1.6033025599151498,0.3529961
Komma,-0.53950117325,1.7326902881911925,0.3482993000000001
sprachlos,-0.32982335325,1.7650713138347507,0.3483937749999999
Hering,-0.10666251949999998,1.2496450968742678,0.35250597499999986
Firma,-0.01354420175,1.6484286650785955,0.34861782500000005
einstellen,-0.007810230249999988,1.6009942305554143,0.348128475
mieten,0.053470693499999986,1.5964374275191966,0.34774787500000015
feilen,0.25809858083375,1.2946960128707226,0.33792410000000006
Kunde,0.3477326329175,1.752273302204941,0.34986442500000003
Ruine,0.40433162306975,1.497637652471792,0.36274427499999995
feige,0.41649417972365,1.7308636048349015,0.35914132500000007
zahm,0.4777171030045,1.6646582008813724,0.3538758999999999
ignorieren,0.6168369999205,1.526045497132525,0.3482012825
Frechheit,0.647613783761725,1.590839115419834,0.34479759999999987
gelingen,0.702462328358475,1.645847935020228,0.3476788500000002
rosten,0.8381007241364575,1.7818955308256768,0.34840631
Paris,0.943337339993325,1.6593320545904702,0.3552671409999998
stricken,1.1375157317025,1.3780316346041193,0.3520388750000003
Ahorn,1.1838119022675,1.5723404769948577,0.37001054999999994
albern,1.26181838339,1.5943806575728943,0.3673332349999998
rudern,1.513589093,1.7271469373262263,0.3784059499999999
stehlen,1.66871966025,1.643852673511117,0.3927437250000003
Glastür,1.7654331465,1.690170512682807,0.3835484
Tennis,1.849330561,1.4899767838689926,0.3860481
peinlich,1.861956239,1.633563347047402,0.389108625
Scherz,2.02257888175,1.6080245142741343,0.3809511250000006
melken,2.0301334315,1.4752273657778023,0.4070789750000001
reif,2.0677850455,1.5091033935850948,0.3962477999999998
Applaus,2.099110042,1.4987012453335726,0.40255842499999983
sechzig,2.12427048325,1.5834105670163559,0.40398924999999997
schleppen,2.139336478,1.5435680295675431,0.41605389999999964
Vitamin,2.36617142275,1.7277965369672366,0.4191666750000005
Portion,2.45220163075,1.7407496227998493,0.41206334999999994
fit,2.46144027025,1.718161607506691,0.41958525000000035
stürzen,2.65534350325,1.5896963228986891,0.44759185000000024
Folge,2.80590557825,1.517663999332228,0.45102407499999986
Elch,2.90265502825,1.6001178731217076,0.4476669499999999
neblig,2.97936733825,1.7709327625962787,0.4661453750000004
Chef,2.9817073932500002,1.582642939670356,0.4542797750000003
flüssig,2.98945099075,1.7624174936855739,0.47293142499999963
Sache,3.13170569575,1.5876632600367955,0.4886242249999997
tippen,3.18243289825,1.6530500978559304,0.4830627500000002
testen,3.20644321575,1.6644798661633662,0.48545727500000035
Büro,3.29551323325,1.5726086487650714,0.5052900500000006
anzünden,3.33584185575,1.665085195170581,0.5236075000000007
Kapitän,3.40569317825,1.651946937039209,0.5161305000000005
Markt,3.40995380075,1.7087207485117737,0.5031654499999996
bequem,3.61496828325,1.689432798718104,0.5201959499999997
Magnet,3.62996666575,1.6442628680946048,0.5187867500000003
Flug,3.63022873075,1.5915020361308236,0.5325121500000001
Frisur,3.79957943575,1.7749753941680777,0.5873436499999993
Zange,4.02683519075,1.6100626860102478,0.6021950000000005
Schuld,4.22093313825,1.5563331627240125,0.6205434999999992
fernsehen,4.80052628075,1.6401653556999445,0.7575325499999996
Dreck,4.90251378575,1.6440650369493521,0.7857200749999995
Fernsehen,5.23365410325,1.6276138287299935,0.8611511500000004
